 Min Game Len
5,
5,
6,
4,
4,
5,
5,
5,
5,
5,
5,
2,
4,
4,
4,
8,
8,
3,
3,
3,
3,
7,
6,
6,
6,
4,
4,
4,
4,
6,
6,
6,
6,
6,
5,
5,
5,
5,
5,
5,
8,
8,
7,
7,
9,
6,
6,
6,
6,
6,
4,
4,
4,
4,
5,
5,
5,
5,
5,
7,
7,
8,
8,
3,
3,
6,
6,
6,
6,
6,
4,
4,
4,
4,
4,
4,
5,
5,
5,
5,
3,
3,
3,
3,
7,
6,
6,
6,
4,
4,
3,
3,
3,
3,
5,
5,
5,
5,
5,
8,
2,
2,
7,
7,
7,
2,
4,
6,
6,
5,
5,
5,
8,
7,
3,
3,
6,
6,
6,
6,
6,
4,
4,
4,
4,
4,
5,
5,
5,
5,
5,
5,
5,
3,
3,
7,
4,
4,
4,
4,
4,
4,
4,
4,
4,
5,
5,
5,
5,
5,
5,
6,
6,
3,
3,
8,
3,
3,
3,
3,
3,
3,
3,
5,
5,
5,
7,
7,
4,
4,
4,
4,
4,
4,
6,
2,
5,
5,
5,
5,
5,
5,
5,
6,
6,
6,
4,
4,
4,
4,
4,
7,
7,
7,
7,
8,
4,
4,
5,
6,
,
